event_id,voter_id,polling_station_id,event_type,event_timestamp,queue_time_minutes,processing_time_minutes,status
32,VOTER000046,PS-046,PROCESSING_COMPLETED,2026-01-15T07:40:00,12.26,6.39,COMPLETED
33,VOTER000047,PS-047,PROCESSING_COMPLETED,2026-01-15T17:35:00,0.44,4.0,COMPLETED
34,VOTER000051,PS-001,PROCESSING_COMPLETED,2026-01-15T11:45:00,6.13,3.76,COMPLETED
35,VOTER000052,PS-002,PROCESSING_COMPLETED,2026-01-15T07:28:00,13.57,5.45,COMPLETED
36,VOTER000053,PS-003,PROCESSING_COMPLETED,2026-01-15T12:21:00,5.22,4.54,COMPLETED
37,VOTER000055,PS-005,PROCESSING_COMPLETED,2026-01-15T17:38:00,17.37,4.09,COMPLETED
38,VOTER000056,PS-006,PROCESSING_COMPLETED,2026-01-15T12:02:00,6.54,3.95,COMPLETED
39,VOTER000058,PS-008,PROCESSING_COMPLETED,2026-01-15T14:20:00,11.85,5.81,COMPLETED
40,VOTER000059,PS-009,PROCESSING_COMPLETED,2026-01-15T09:53:00,6.14,3.24,COMPLETED
41,VOTER000062,PS-012,PROCESSING_COMPLETED,2026-01-15T13:33:00,6.51,4.65,COMPLETED
42,VOTER000063,PS-013,PROCESSING_COMPLETED,2026-01-15T08:49:00,15.4,5.94,COMPLETED
43,VOTER000064,PS-014,PROCESSING_COMPLETED,2026-01-15T09:04:00,0.2,3.91,COMPLETED
44,VOTER000067,PS-017,PROCESSING_COMPLETED,2026-01-15T11:52:00,8.71,8.38,COMPLETED
45,VOTER000069,PS-019,PROCESSING_COMPLETED,2026-01-15T14:05:00,4.01,7.45,COMPLETED
46,VOTER000072,PS-022,PROCESSING_COMPLETED,2026-01-15T12:44:00,7.46,6.03,COMPLETED
47,VOTER000074,PS-024,PROCESSING_COMPLETED,2026-01-15T10:06:00,0.8,7.89,COMPLETED
48,VOTER000075,PS-025,PROCESSING_COMPLETED,2026-01-15T13:28:00,5.1,9.4,COMPLETED
49,VOTER000076,PS-026,PROCESSING_COMPLETED,2026-01-15T12:58:00,8.39,5.02,COMPLETED
50,VOTER000078,PS-028,PROCESSING_COMPLETED,2026-01-15T10:43:00,5.78,3.1,COMPLETED
51,VOTER000079,PS-029,PROCESSING_COMPLETED,2026-01-15T08:57:00,2.95,3.31,COMPLETED
52,VOTER000081,PS-031,PROCESSING_COMPLETED,2026-01-15T12:08:00,9.92,4.23,COMPLETED
53,VOTER000082,PS-032,PROCESSING_COMPLETED,2026-01-15T15:38:00,4.76,6.8,COMPLETED
54,VOTER000084,PS-034,PROCESSING_COMPLETED,2026-01-15T17:30:00,2.37,5.33,COMPLETED
55,VOTER000086,PS-036,PROCESSING_COMPLETED,2026-01-15T13:28:00,2.77,6.52,COMPLETED
56,VOTER000087,PS-037,PROCESSING_COMPLETED,2026-01-15T12:48:00,10.17,9.97,COMPLETED
57,VOTER000088,PS-038,PROCESSING_COMPLETED,2026-01-15T13:56:00,9.53,7.46,COMPLETED
58,VOTER000089,PS-039,PROCESSING_COMPLETED,2026-01-15T08:35:00,0.96,6.05,COMPLETED
59,VOTER000090,PS-040,PROCESSING_COMPLETED,2026-01-15T16:03:00,4.26,4.47,COMPLETED
60,VOTER000092,PS-042,PROCESSING_COMPLETED,2026-01-15T10:09:00,1.46,4.89,COMPLETED
61,VOTER000094,PS-044,PROCESSING_COMPLETED,2026-01-15T16:06:00,8.7,6.17,COMPLETED
62,VOTER000095,PS-045,PROCESSING_COMPLETED,2026-01-15T15:22:00,7.69,4.62,COMPLETED
63,VOTER000096,PS-046,PROCESSING_COMPLETED,2026-01-15T11:18:00,2.52,11.04,COMPLETED
64,VOTER000097,PS-047,PROCESSING_COMPLETED,2026-01-15T09:35:00,2.74,4.1,COMPLETED
65,VOTER000099,PS-049,PROCESSING_COMPLETED,2026-01-15T17:02:00,11.36,4.7,COMPLETED
66,VOTER000101,PS-001,PROCESSING_COMPLETED,2026-01-15T14:41:00,8.67,5.88,COMPLETED
67,VOTER000102,PS-002,PROCESSING_COMPLETED,2026-01-15T14:44:00,7.59,7.7,COMPLETED
68,VOTER000104,PS-004,PROCESSING_COMPLETED,2026-01-15T08:13:00,15.0,3.35,COMPLETED
69,VOTER000105,PS-005,PROCESSING_COMPLETED,2026-01-15T13:52:00,4.89,6.2,COMPLETED
70,VOTER000106,PS-006,PROCESSING_COMPLETED,2026-01-15T12:30:00,12.73,6.43,COMPLETED
71,VOTER000107,PS-007,PROCESSING_COMPLETED,2026-01-15T17:01:00,4.58,1.57,COMPLETED
72,VOTER000109,PS-009,PROCESSING_COMPLETED,2026-01-15T12:56:00,6.57,5.85,COMPLETED
73,VOTER000111,PS-011,PROCESSING_COMPLETED,2026-01-15T13:53:00,6.94,7.75,COMPLETED
74,VOTER000112,PS-012,PROCESSING_COMPLETED,2026-01-15T15:30:00,2.58,5.41,COMPLETED
75,VOTER000113,PS-013,PROCESSING_COMPLETED,2026-01-15T15:16:00,10.75,7.25,COMPLETED
76,VOTER000114,PS-014,PROCESSING_COMPLETED,2026-01-15T10:50:00,12.68,6.01,COMPLETED
77,VOTER000115,PS-015,PROCESSING_COMPLETED,2026-01-15T11:39:00,7.36,3.0,COMPLETED
78,VOTER000116,PS-016,PROCESSING_COMPLETED,2026-01-15T17:13:00,10.08,7.03,COMPLETED
79,VOTER000117,PS-017,PROCESSING_COMPLETED,2026-01-15T15:39:00,9.48,3.39,COMPLETED
80,VOTER000119,PS-019,PROCESSING_COMPLETED,2026-01-15T12:29:00,8.73,3.47,COMPLETED
81,VOTER000120,PS-020,PROCESSING_COMPLETED,2026-01-15T15:04:00,8.6,5.09,COMPLETED
82,VOTER000121,PS-021,PROCESSING_COMPLETED,2026-01-15T17:04:00,13.23,6.45,COMPLETED
83,VOTER000122,PS-022,PROCESSING_COMPLETED,2026-01-15T13:59:00,1.92,6.83,COMPLETED
84,VOTER000125,PS-025,PROCESSING_COMPLETED,2026-01-15T11:54:00,9.01,9.43,COMPLETED
85,VOTER000128,PS-028,PROCESSING_COMPLETED,2026-01-15T10:04:00,3.08,5.2,COMPLETED
86,VOTER000129,PS-029,PROCESSING_COMPLETED,2026-01-15T09:26:00,8.93,11.09,COMPLETED
87,VOTER000130,PS-030,PROCESSING_COMPLETED,2026-01-15T11:54:00,15.98,6.06,COMPLETED
88,VOTER000131,PS-031,PROCESSING_COMPLETED,2026-01-15T17:54:00,5.24,8.44,COMPLETED
89,VOTER000133,PS-033,PROCESSING_COMPLETED,2026-01-15T12:02:00,0.2,2.39,COMPLETED
90,VOTER000134,PS-034,PROCESSING_COMPLETED,2026-01-15T07:50:00,13.22,2.68,COMPLETED
91,VOTER000137,PS-037,PROCESSING_COMPLETED,2026-01-15T09:14:00,3.25,6.95,COMPLETED
92,VOTER000138,PS-038,PROCESSING_COMPLETED,2026-01-15T13:14:00,11.93,8.01,COMPLETED
93,VOTER000139,PS-039,PROCESSING_COMPLETED,2026-01-15T12:02:00,10.58,3.35,COMPLETED
94,VOTER000141,PS-041,PROCESSING_COMPLETED,2026-01-15T09:06:00,5.8,6.96,COMPLETED
95,VOTER000144,PS-044,PROCESSING_COMPLETED,2026-01-15T15:24:00,9.51,5.99,COMPLETED
96,VOTER000145,PS-045,PROCESSING_COMPLETED,2026-01-15T16:13:00,1.33,10.05,COMPLETED
97,VOTER000146,PS-046,PROCESSING_COMPLETED,2026-01-15T11:46:00,11.32,2.93,COMPLETED
98,VOTER000147,PS-047,PROCESSING_COMPLETED,2026-01-15T08:41:00,16.27,4.36,COMPLETED
99,VOTER000148,PS-048,PROCESSING_COMPLETED,2026-01-15T14:45:00,9.19,6.94,COMPLETED
100,VOTER000149,PS-049,PROCESSING_COMPLETED,2026-01-15T16:38:00,2.09,12.03,COMPLETED
101,VOTER000152,PS-002,PROCESSING_COMPLETED,2026-01-15T12:31:00,9.17,4.09,COMPLETED
102,VOTER000153,PS-003,PROCESSING_COMPLETED,2026-01-15T08:05:00,6.59,6.36,COMPLETED
103,VOTER000154,PS-004,PROCESSING_COMPLETED,2026-01-15T17:29:00,5.56,6.3,COMPLETED
104,VOTER000155,PS-005,PROCESSING_COMPLETED,2026-01-15T13:51:00,23.32,7.49,COMPLETED
105,VOTER000157,PS-007,PROCESSING_COMPLETED,2026-01-15T12:32:00,4.44,3.56,COMPLETED
106,VOTER000158,PS-008,PROCESSING_COMPLETED,2026-01-15T08:57:00,1.65,7.61,COMPLETED
107,VOTER000159,PS-009,PROCESSING_COMPLETED,2026-01-15T14:44:00,8.91,7.96,COMPLETED
108,VOTER000160,PS-010,PROCESSING_COMPLETED,2026-01-15T09:36:00,6.33,3.8,COMPLETED
109,VOTER000162,PS-012,PROCESSING_COMPLETED,2026-01-15T09:05:00,4.92,4.99,COMPLETED
110,VOTER000164,PS-014,PROCESSING_COMPLETED,2026-01-15T16:29:00,8.72,6.93,COMPLETED
111,VOTER000166,PS-016,PROCESSING_COMPLETED,2026-01-15T12:47:00,7.36,9.83,COMPLETED
112,VOTER000167,PS-017,PROCESSING_COMPLETED,2026-01-15T17:48:00,6.51,6.58,COMPLETED
113,VOTER000168,PS-018,PROCESSING_COMPLETED,2026-01-15T12:32:00,6.22,7.74,COMPLETED
114,VOTER000169,PS-019,PROCESSING_COMPLETED,2026-01-15T08:23:00,8.44,5.03,COMPLETED
115,VOTER000170,PS-020,PROCESSING_COMPLETED,2026-01-15T15:44:00,5.89,6.66,COMPLETED
116,VOTER000171,PS-021,PROCESSING_COMPLETED,2026-01-15T12:15:00,6.29,3.3,COMPLETED
117,VOTER000172,PS-022,PROCESSING_COMPLETED,2026-01-15T09:20:00,7.48,7.37,COMPLETED
118,VOTER000173,PS-023,PROCESSING_COMPLETED,2026-01-15T13:29:00,8.35,4.31,COMPLETED
119,VOTER000174,PS-024,PROCESSING_COMPLETED,2026-01-15T13:46:00,6.47,3.85,COMPLETED
120,VOTER000175,PS-025,PROCESSING_COMPLETED,2026-01-15T14:19:00,11.61,6.78,COMPLETED
121,VOTER000176,PS-026,PROCESSING_COMPLETED,2026-01-15T17:32:00,12.09,6.08,COMPLETED
122,VOTER000177,PS-027,PROCESSING_COMPLETED,2026-01-15T13:50:00,11.93,7.38,COMPLETED
123,VOTER000179,PS-029,PROCESSING_COMPLETED,2026-01-15T18:00:00,11.63,4.56,COMPLETED
124,VOTER000180,PS-030,PROCESSING_COMPLETED,2026-01-15T08:17:00,9.52,7.03,COMPLETED
125,VOTER000182,PS-032,PROCESSING_COMPLETED,2026-01-15T12:10:00,12.53,6.88,COMPLETED
126,VOTER000183,PS-033,PROCESSING_COMPLETED,2026-01-15T07:58:00,6.69,8.24,COMPLETED
127,VOTER000184,PS-034,PROCESSING_COMPLETED,2026-01-15T16:27:00,3.72,5.68,COMPLETED
128,VOTER000185,PS-035,PROCESSING_COMPLETED,2026-01-15T08:03:00,6.03,6.01,COMPLETED
129,VOTER000186,PS-036,PROCESSING_COMPLETED,2026-01-15T14:28:00,9.88,7.4,COMPLETED
130,VOTER000187,PS-037,PROCESSING_COMPLETED,2026-01-15T12:46:00,7.52,8.21,COMPLETED
131,VOTER000188,PS-038,PROCESSING_COMPLETED,2026-01-15T11:50:00,13.64,7.82,COMPLETED
132,VOTER000189,PS-039,PROCESSING_COMPLETED,2026-01-15T12:17:00,3.56,1.22,COMPLETED
133,VOTER000190,PS-040,PROCESSING_COMPLETED,2026-01-15T13:25:00,11.74,5.02,COMPLETED
134,VOTER000191,PS-041,PROCESSING_COMPLETED,2026-01-15T07:18:00,6.0,3.29,COMPLETED
135,VOTER000192,PS-042,PROCESSING_COMPLETED,2026-01-15T09:20:00,8.68,4.24,COMPLETED
136,VOTER000193,PS-043,PROCESSING_COMPLETED,2026-01-15T15:59:00,1.73,4.83,COMPLETED
137,VOTER000194,PS-044,PROCESSING_COMPLETED,2026-01-15T17:39:00,9.9,7.05,COMPLETED
138,VOTER000195,PS-045,PROCESSING_COMPLETED,2026-01-15T14:34:00,7.02,4.22,COMPLETED
139,VOTER000196,PS-046,PROCESSING_COMPLETED,2026-01-15T15:00:00,5.61,9.86,COMPLETED
140,VOTER000200,PS-050,PROCESSING_COMPLETED,2026-01-15T12:57:00,14.95,3.44,COMPLETED
141,VOTER000201,PS-001,PROCESSING_COMPLETED,2026-01-15T13:23:00,9.61,13.51,COMPLETED
142,VOTER000204,PS-004,PROCESSING_COMPLETED,2026-01-15T17:23:00,8.91,7.13,COMPLETED
143,VOTER000205,PS-005,PROCESSING_COMPLETED,2026-01-15T17:54:00,10.63,7.03,COMPLETED
144,VOTER000207,PS-007,PROCESSING_COMPLETED,2026-01-15T16:44:00,12.32,5.82,COMPLETED
145,VOTER000211,PS-011,PROCESSING_COMPLETED,2026-01-15T09:59:00,1.02,4.55,COMPLETED
146,VOTER000213,PS-013,PROCESSING_COMPLETED,2026-01-15T12:17:00,8.78,6.47,COMPLETED
147,VOTER000214,PS-014,PROCESSING_COMPLETED,2026-01-15T07:48:00,6.32,4.23,COMPLETED
148,VOTER000216,PS-016,PROCESSING_COMPLETED,2026-01-15T15:51:00,0.2,5.88,COMPLETED
149,VOTER000217,PS-017,PROCESSING_COMPLETED,2026-01-15T12:00:00,11.05,5.75,COMPLETED
150,VOTER000219,PS-019,PROCESSING_COMPLETED,2026-01-15T17:29:00,7.06,1.2,COMPLETED
151,VOTER000221,PS-021,PROCESSING_COMPLETED,2026-01-15T07:35:00,2.69,3.18,COMPLETED
152,VOTER000222,PS-022,PROCESSING_COMPLETED,2026-01-15T09:37:00,9.42,5.61,COMPLETED
153,VOTER000223,PS-023,PROCESSING_COMPLETED,2026-01-15T13:15:00,10.42,6.41,COMPLETED
154,VOTER000226,PS-026,PROCESSING_COMPLETED,2026-01-15T14:35:00,11.17,3.7,COMPLETED
155,VOTER000228,PS-028,PROCESSING_COMPLETED,2026-01-15T09:22:00,10.43,6.91,COMPLETED
156,VOTER000229,PS-029,PROCESSING_COMPLETED,2026-01-15T16:24:00,3.25,8.98,COMPLETED
157,VOTER000230,PS-030,PROCESSING_COMPLETED,2026-01-15T15:58:00,15.09,5.79,COMPLETED
158,VOTER000234,PS-034,PROCESSING_COMPLETED,2026-01-15T15:51:00,7.42,3.66,COMPLETED
159,VOTER000235,PS-035,PROCESSING_COMPLETED,2026-01-15T12:10:00,6.34,5.41,COMPLETED
160,VOTER000236,PS-036,PROCESSING_COMPLETED,2026-01-15T09:55:00,3.76,4.07,COMPLETED
161,VOTER000239,PS-039,PROCESSING_COMPLETED,2026-01-15T12:04:00,10.55,2.37,COMPLETED
162,VOTER000240,PS-040,PROCESSING_COMPLETED,2026-01-15T17:21:00,5.58,5.96,COMPLETED
163,VOTER000242,PS-042,PROCESSING_COMPLETED,2026-01-15T08:39:00,8.05,7.6,COMPLETED
164,VOTER000243,PS-043,PROCESSING_COMPLETED,2026-01-15T12:35:00,10.04,4.74,COMPLETED
165,VOTER000245,PS-045,PROCESSING_COMPLETED,2026-01-15T11:06:00,4.76,7.45,COMPLETED
166,VOTER000246,PS-046,PROCESSING_COMPLETED,2026-01-15T15:01:00,0.2,5.96,COMPLETED
167,VOTER000247,PS-047,PROCESSING_COMPLETED,2026-01-15T13:52:00,13.41,3.19,COMPLETED
168,VOTER000248,PS-048,PROCESSING_COMPLETED,2026-01-15T08:15:00,10.22,8.66,COMPLETED
169,VOTER000251,PS-001,PROCESSING_COMPLETED,2026-01-15T15:05:00,14.84,6.72,COMPLETED
170,VOTER000252,PS-002,PROCESSING_COMPLETED,2026-01-15T13:42:00,11.74,4.92,COMPLETED
171,VOTER000253,PS-003,PROCESSING_COMPLETED,2026-01-15T16:36:00,3.54,5.63,COMPLETED
172,VOTER000254,PS-004,PROCESSING_COMPLETED,2026-01-15T12:15:00,11.77,7.38,COMPLETED
173,VOTER000255,PS-005,PROCESSING_COMPLETED,2026-01-15T16:52:00,2.12,1.2,COMPLETED
174,VOTER000256,PS-006,PROCESSING_COMPLETED,2026-01-15T13:29:00,4.38,3.38,COMPLETED
175,VOTER000257,PS-007,PROCESSING_COMPLETED,2026-01-15T14:31:00,7.56,4.31,COMPLETED
176,VOTER000259,PS-009,PROCESSING_COMPLETED,2026-01-15T15:09:00,0.2,2.63,COMPLETED
177,VOTER000260,PS-010,PROCESSING_COMPLETED,2026-01-15T17:58:00,3.23,5.18,COMPLETED
178,VOTER000262,PS-012,PROCESSING_COMPLETED,2026-01-15T11:40:00,2.71,10.35,COMPLETED
179,VOTER000264,PS-014,PROCESSING_COMPLETED,2026-01-15T15:10:00,5.38,6.45,COMPLETED
180,VOTER000265,PS-015,PROCESSING_COMPLETED,2026-01-15T11:08:00,4.23,3.68,COMPLETED
181,VOTER000266,PS-016,PROCESSING_COMPLETED,2026-01-15T08:42:00,2.69,7.78,COMPLETED
182,VOTER000267,PS-017,PROCESSING_COMPLETED,2026-01-15T15:08:00,16.31,3.84,COMPLETED
183,VOTER000268,PS-018,PROCESSING_COMPLETED,2026-01-15T16:47:00,15.1,7.29,COMPLETED
184,VOTER000269,PS-019,PROCESSING_COMPLETED,2026-01-15T07:37:00,13.52,1.2,COMPLETED
185,VOTER000272,PS-022,PROCESSING_COMPLETED,2026-01-15T14:49:00,10.3,6.73,COMPLETED
186,VOTER000274,PS-024,PROCESSING_COMPLETED,2026-01-15T10:09:00,13.74,7.65,COMPLETED
187,VOTER000275,PS-025,PROCESSING_COMPLETED,2026-01-15T11:33:00,5.0,7.54,COMPLETED
188,VOTER000276,PS-026,PROCESSING_COMPLETED,2026-01-15T09:01:00,7.87,5.0,COMPLETED
189,VOTER000278,PS-028,PROCESSING_COMPLETED,2026-01-15T15:09:00,10.32,11.73,COMPLETED
190,VOTER000280,PS-030,PROCESSING_COMPLETED,2026-01-15T16:37:00,4.48,5.4,COMPLETED
191,VOTER000281,PS-031,PROCESSING_COMPLETED,2026-01-15T10:30:00,11.17,3.75,COMPLETED
192,VOTER000283,PS-033,PROCESSING_COMPLETED,2026-01-15T12:15:00,2.55,4.5,COMPLETED
193,VOTER000285,PS-035,PROCESSING_COMPLETED,2026-01-15T15:03:00,16.67,7.68,COMPLETED
194,VOTER000287,PS-037,PROCESSING_COMPLETED,2026-01-15T08:22:00,11.95,4.64,COMPLETED
195,VOTER000288,PS-038,PROCESSING_COMPLETED,2026-01-15T09:10:00,12.59,5.69,COMPLETED
196,VOTER000290,PS-040,PROCESSING_COMPLETED,2026-01-15T08:55:00,6.48,7.39,COMPLETED
197,VOTER000291,PS-041,PROCESSING_COMPLETED,2026-01-15T14:37:00,13.54,7.12,COMPLETED
198,VOTER000294,PS-044,PROCESSING_COMPLETED,2026-01-15T10:46:00,12.24,8.56,COMPLETED
199,VOTER000295,PS-045,PROCESSING_COMPLETED,2026-01-15T09:59:00,2.66,3.67,COMPLETED
200,VOTER000296,PS-046,PROCESSING_COMPLETED,2026-01-15T13:30:00,5.03,8.66,COMPLETED
201,VOTER000297,PS-047,PROCESSING_COMPLETED,2026-01-15T15:04:00,3.38,8.62,COMPLETED
202,VOTER000299,PS-049,PROCESSING_COMPLETED,2026-01-15T14:40:00,10.15,9.11,COMPLETED
203,VOTER000300,PS-050,PROCESSING_COMPLETED,2026-01-15T08:14:00,5.77,2.91,COMPLETED
204,VOTER000301,PS-001,PROCESSING_COMPLETED,2026-01-15T07:15:00,11.38,4.68,COMPLETED
205,VOTER000303,PS-003,PROCESSING_COMPLETED,2026-01-15T11:27:00,4.53,5.32,COMPLETED
206,VOTER000304,PS-004,PROCESSING_COMPLETED,2026-01-15T12:27:00,13.1,5.48,COMPLETED
207,VOTER000305,PS-005,PROCESSING_COMPLETED,2026-01-15T07:16:00,12.94,2.82,COMPLETED
208,VOTER000306,PS-006,PROCESSING_COMPLETED,2026-01-15T11:11:00,6.43,7.86,COMPLETED
209,VOTER000309,PS-009,PROCESSING_COMPLETED,2026-01-15T07:49:00,9.28,5.0,COMPLETED
210,VOTER000310,PS-010,PROCESSING_COMPLETED,2026-01-15T14:46:00,10.12,7.17,COMPLETED
211,VOTER000311,PS-011,PROCESSING_COMPLETED,2026-01-15T07:17:00,4.16,5.3,COMPLETED
212,VOTER000312,PS-012,PROCESSING_COMPLETED,2026-01-15T10:03:00,10.83,2.49,COMPLETED
213,VOTER000313,PS-013,PROCESSING_COMPLETED,2026-01-15T11:33:00,0.79,5.07,COMPLETED
214,VOTER000314,PS-014,PROCESSING_COMPLETED,2026-01-15T12:07:00,8.68,9.51,COMPLETED
215,VOTER000315,PS-015,PROCESSING_COMPLETED,2026-01-15T17:52:00,4.98,7.7,COMPLETED
216,VOTER000316,PS-016,PROCESSING_COMPLETED,2026-01-15T16:39:00,1.67,7.5,COMPLETED
217,VOTER000317,PS-017,PROCESSING_COMPLETED,2026-01-15T15:06:00,14.33,2.1,COMPLETED
218,VOTER000320,PS-020,PROCESSING_COMPLETED,2026-01-15T16:13:00,12.09,2.87,COMPLETED
219,VOTER000321,PS-021,PROCESSING_COMPLETED,2026-01-15T14:27:00,9.78,5.67,COMPLETED
220,VOTER000323,PS-023,PROCESSING_COMPLETED,2026-01-15T16:59:00,6.49,6.88,COMPLETED
221,VOTER000325,PS-025,PROCESSING_COMPLETED,2026-01-15T12:15:00,8.74,5.95,COMPLETED
222,VOTER000326,PS-026,PROCESSING_COMPLETED,2026-01-15T16:28:00,10.16,8.22,COMPLETED
223,VOTER000327,PS-027,PROCESSING_COMPLETED,2026-01-15T12:32:00,3.06,4.72,COMPLETED
224,VOTER000328,PS-028,PROCESSING_COMPLETED,2026-01-15T11:08:00,16.19,8.42,COMPLETED
225,VOTER000329,PS-029,PROCESSING_COMPLETED,2026-01-15T09:29:00,8.01,7.68,COMPLETED
226,VOTER000330,PS-030,PROCESSING_COMPLETED,2026-01-15T11:17:00,6.73,5.89,COMPLETED
227,VOTER000331,PS-031,PROCESSING_COMPLETED,2026-01-15T13:45:00,8.72,6.01,COMPLETED
228,VOTER000332,PS-032,PROCESSING_COMPLETED,2026-01-15T17:08:00,1.31,7.69,COMPLETED
229,VOTER000333,PS-033,PROCESSING_COMPLETED,2026-01-15T12:26:00,10.26,7.97,COMPLETED
230,VOTER000334,PS-034,PROCESSING_COMPLETED,2026-01-15T13:13:00,7.0,9.94,COMPLETED
231,VOTER000337,PS-037,PROCESSING_COMPLETED,2026-01-15T14:13:00,8.71,9.31,COMPLETED
232,VOTER000338,PS-038,PROCESSING_COMPLETED,2026-01-15T14:08:00,0.2,4.63,COMPLETED
233,VOTER000339,PS-039,PROCESSING_COMPLETED,2026-01-15T09:50:00,8.47,9.35,COMPLETED
234,VOTER000341,PS-041,PROCESSING_COMPLETED,2026-01-15T16:49:00,8.29,2.73,COMPLETED
235,VOTER000342,PS-042,PROCESSING_COMPLETED,2026-01-15T09:34:00,5.65,2.48,COMPLETED
236,VOTER000343,PS-043,PROCESSING_COMPLETED,2026-01-15T09:25:00,9.96,5.31,COMPLETED
237,VOTER000345,PS-045,PROCESSING_COMPLETED,2026-01-15T07:23:00,14.76,6.85,COMPLETED
238,VOTER000348,PS-048,PROCESSING_COMPLETED,2026-01-15T17:06:00,6.3,4.75,COMPLETED
239,VOTER000349,PS-049,PROCESSING_COMPLETED,2026-01-15T08:04:00,8.51,1.44,COMPLETED
240,VOTER000350,PS-050,PROCESSING_COMPLETED,2026-01-15T15:21:00,5.24,6.29,COMPLETED
241,VOTER000351,PS-001,PROCESSING_COMPLETED,2026-01-15T14:48:00,5.08,4.65,COMPLETED
242,VOTER000353,PS-003,PROCESSING_COMPLETED,2026-01-15T13:32:00,6.41,6.44,COMPLETED
243,VOTER000354,PS-004,PROCESSING_COMPLETED,2026-01-15T12:22:00,6.1,5.89,COMPLETED
244,VOTER000359,PS-009,PROCESSING_COMPLETED,2026-01-15T16:15:00,0.2,3.83,COMPLETED
245,VOTER000361,PS-011,PROCESSING_COMPLETED,2026-01-15T09:00:00,9.56,5.02,COMPLETED
246,VOTER000362,PS-012,PROCESSING_COMPLETED,2026-01-15T10:31:00,10.23,7.05,COMPLETED
247,VOTER000363,PS-013,PROCESSING_COMPLETED,2026-01-15T11:59:00,14.13,11.61,COMPLETED
248,VOTER000366,PS-016,PROCESSING_COMPLETED,2026-01-15T13:24:00,4.42,3.31,COMPLETED
